n,seed,lambda,rho,rho_multiplier,success,status,runtime_seconds,iterations,objective_value,objective_gap_vs_ipm,transport_cost,transport_gap_vs_ipm,marginal_violation,primal_residual,dual_residual
200,1200,0.1,14.712048514981227,0.1,False,max_iterations,9.162789541000166,50000,6.275849893989419,-4.73470062755401,6.275715105295735,-4.734599192289089,0.4130611061325218,0.0020809862688210717,0.0010178276749221947
200,1200,0.1,29.424097029962454,0.2,False,max_iterations,9.12075037500017,50000,10.854347195495745,-0.1562033260476845,10.854132777119105,-0.15618152046571865,0.020112720939756107,9.709154971961377e-05,0.00014306350029721045
200,1200,0.1,73.56024257490613,0.5,True,converged,4.770931124999606,26078,11.010553189530755,2.6679873261770126e-06,11.010316967427038,2.669842213975926e-06,9.941967106521891e-06,1.2051995074469308e-07,2.261612048432793e-05
200,1200,0.1,147.12048514981225,1.0,True,converged,3.3297816250001233,18142,11.01053724553752,-1.3276005908835486e-05,11.010301042736485,-1.3254848338917213e-05,9.981701891282127e-06,1.4632107403343817e-07,3.315225778602456e-05
200,1200,0.1,294.2409702996245,2.0,True,converged,2.4733052920000773,13491,11.010552113536031,1.5919926017460284e-06,11.010316129644348,1.8320595245313598e-06,9.739888619409755e-06,1.1257695205819973e-07,0.00013651679247713493
200,1200,0.1,588.481940599249,4.0,True,converged,2.5315922499999033,13881,11.010562775692017,1.2254148588297653e-05,11.010327273793337,1.2976208513038046e-05,9.849075861318238e-06,1.2170337533123594e-07,0.00019522389252825124
