n,seed,lambda,method,success,status,rho,runtime_seconds,objective_value,transport_cost,transport_gap_vs_wlp,marginal_violation,iterations
200,1200,10.0,admm,True,converged,147.12048514981225,3.178782124999998,11.024579073953047,11.013493494068005,0.0031847804483433606,9.99430286982659e-06,17387
200,1200,10.0,ipm,True,optimal,,0.24534420899999532,11.024649950622416,11.013565381147815,0.0032566675281540114,2.767195473631079e-09,16
200,1200,3.5938136638046276,admm,True,converged,147.12048514981225,3.3579380830001355,11.016611047846492,11.01135759163008,0.0010488780104189743,9.99798279685115e-06,17744
200,1200,3.5938136638046276,ipm,True,optimal,,0.24707595800009585,11.016681705459181,11.011428783689315,0.0011200700696534227,3.1744345407522245e-09,16
200,1200,1.291549665014884,admm,True,converged,147.12048514981225,3.156712458000129,11.012927932570577,11.010611770587794,0.00030305696813215377,9.993058455847609e-06,16628
200,1200,1.291549665014884,ipm,True,optimal,,0.24340287499990154,11.012976760797914,11.010660965577086,0.0003522519574250538,1.9189352727481956e-08,16
200,1200,0.464158883361278,admm,True,converged,147.12048514981225,3.1791438749996814,11.011321594069585,11.010316286934158,7.573314496411854e-06,9.99304202707e-06,16012
200,1200,0.464158883361278,ipm,True,optimal,,0.26136975000008533,11.011375369507778,11.010370593455473,6.187983581185108e-05,1.3532447269530568e-08,17
200,1200,0.1668100537200059,admm,True,converged,147.12048514981225,2.7052158749997943,11.010706832737036,11.010318911736803,1.0198117141868579e-05,9.97352328615652e-06,14709
200,1200,0.1668100537200059,ipm,True,optimal,,0.25881412499984435,11.010707358693566,11.010319658442949,1.0944823287672989e-05,2.989342610081047e-08,17
200,1200,0.05994842503189409,admm,True,converged,147.12048514981225,3.751800167000056,11.01045043651195,11.010307266336639,-1.4472830223155597e-06,9.947722085557748e-06,20294
200,1200,0.05994842503189409,ipm,True,optimal,,0.2527792089999821,11.01045531252025,11.010312119364816,3.4057451543390016e-06,1.8250291726647216e-08,17
200,1200,0.021544346900318846,admm,True,converged,147.12048514981225,4.264384540999799,11.010365012380333,11.010312370954306,3.657334644913135e-06,9.942002729001684e-06,23397
200,1200,0.021544346900318846,ipm,True,optimal,,0.25229304200001934,11.010363434427259,11.010310445712319,1.7320926577468754e-06,8.651638445499737e-08,17
200,1200,0.007742636826811277,admm,True,converged,147.12048514981225,3.9408068749999074,11.010365477642301,11.010346165908164,3.745228850249305e-05,9.493382340200474e-06,21431
200,1200,0.007742636826811277,ipm,True,optimal,,0.2506852080000499,11.010328946868714,11.010309595947312,8.82327650941761e-07,8.550405769785357e-08,17
200,1200,0.0027825594022071257,admm,True,converged,147.12048514981225,3.656812125000215,11.010336246562595,11.010329307165529,2.059354586769757e-05,9.840587840311693e-06,20015
200,1200,0.0027825594022071257,ipm,True,optimal,,0.2501487909999014,11.010316180166715,11.010309223972987,5.10353325822166e-07,5.1062309880389734e-08,17
200,1200,0.001,admm,True,converged,147.12048514981225,3.5975955829999293,11.010326666945389,11.010324173206792,1.5459587130450814e-05,8.641471987527391e-06,19623
200,1200,0.001,ipm,True,optimal,,0.26086149999991903,11.010311869948335,11.010309369992521,6.563728600639251e-07,6.60192775447932e-08,17
