n,seed,lambda,method,success,status,rho,runtime_seconds,objective_value,transport_cost,marginal_violation,iterations
200,1200,0.1,admm,True,converged,147.12048514981225,3.303512665999733,11.01053724553752,11.010301042736485,9.981701891282127e-06,18142
200,1200,0.1,ipm,True,optimal,,0.2607436250000319,11.01055052154343,11.010314297584824,1.1935065134111023e-08,17
