n,mean_transport_cost,std_transport_cost,mean_marginal_violation,mean_runtime_seconds,w2_squared,mean_gap_vs_w2
50,11.249002252835863,1.4966280117292925,0.0,0.009610062500360072,10.27835800152249,0.9706442513133737
100,10.15755284176144,0.9428494476803252,0.0,0.04202974580002774,10.27835800152249,-0.12080515976104955
200,10.246796724451922,0.6556181313382403,0.0,0.21493913319936836,10.27835800152249,-0.03156127707056733
500,10.313280317529113,0.3105740153089488,0.0,1.874446379100118,10.27835800152249,0.03492231600662343
