panel,transport_cost,shown_edges,shown_mass,shown_mass_fraction,display_threshold
LP coupling,11.010308713619661,200,0.9999999999999998,0.9999999999999998,0.0001
Quadratic coupling ($\lambda=0.1$),11.010314297584824,229,0.999995251192675,0.9999952452251707,0.0001
Sinkhorn coupling ($\lambda=1$),11.796798150027712,1540,0.26509991329424876,0.26509991329424876,0.0001
Sinkhorn coupling ($\lambda=0.01$),11.01361284616648,726,0.9882683852798219,0.988268385279812,0.0001
