n,primal_weight,step_multiplier,success,status,runtime_seconds,objective_value,objective_gap_vs_pdlp,marginal_violation,iterations
100,1.0,0.8,False,max_iterations,0.5316204580012709,2.3391323958826615,-8.481525603037431,0.8824736842529819,12000
100,1.0,1.0,False,max_iterations,0.5295630840046215,3.4086092129708785,-7.412048785949214,0.7434361516805672,12000
100,1.0,1.13,False,max_iterations,0.5289581250035553,4.114085617108119,-6.706572381811974,0.6604446748339379,12000
100,1.0,1.25,False,max_iterations,0.52853420899919,4.96175219435087,-5.858905804569222,0.5426749406379653,12000
100,1.0,1.4,False,max_iterations,0.5296661249958561,5.6163615913222245,-5.204296407597868,0.4830976752409939,12000
100,1.0,1.6,False,max_iterations,0.5250164169992786,6.474623136003281,-4.346034862916811,0.4003986072289964,12000
100,2.0,0.8,False,max_iterations,0.5277026250041672,6.451457643846297,-4.3692003550737954,0.40717148959584315,12000
100,2.0,1.0,False,max_iterations,0.5280885410029441,7.956156337697025,-2.864501661223067,0.26201881242421077,12000
100,2.0,1.13,False,max_iterations,0.5284962500008987,8.846687071039302,-1.9739709278807904,0.1494367273078262,12000
100,2.0,1.25,False,max_iterations,0.528893540998979,9.262507921903016,-1.5581500770170766,0.12030542456805268,12000
100,2.0,1.4,False,max_iterations,0.5274984580028104,9.90140003266125,-0.9192579662588418,0.0805980297256646,12000
100,2.0,1.6,False,max_iterations,0.5280949999942095,10.559276591625284,-0.26138140729480774,0.030740783064784893,12000
100,4.0,0.8,False,max_iterations,0.5291806669993093,10.52768301433878,-0.29297498458131166,0.03915953343905758,12000
100,4.0,1.0,False,max_iterations,0.5415953749979963,10.650712840622177,-0.16994515829791546,0.02000009824090167,12000
100,4.0,1.13,False,max_iterations,0.5314557919991785,10.697483510297435,-0.12317448862265756,0.02000000000087305,12000
100,4.0,1.25,False,max_iterations,0.5420350409985986,10.713800799480378,-0.10685719943971428,0.02002828826027748,12000
100,4.0,1.4,False,max_iterations,0.5706582500060904,10.822957658935845,0.002299660015752991,0.0018216552594622574,12000
100,4.0,1.6,True,converged,0.49371729199629044,10.820655885638072,-2.1132820204883274e-06,9.725117736496258e-07,11079
100,8.0,0.8,False,max_iterations,0.531186209002044,10.800841257087011,-0.019816741833080798,0.003365999598191706,12000
100,8.0,1.0,True,converged,0.5154121250016033,10.820656267160999,-1.7317590934595728e-06,9.996527199594707e-07,11653
100,8.0,1.13,True,converged,0.45006724999984726,10.820659702596057,1.7036759647481858e-06,9.835451225473357e-07,10174
100,8.0,1.25,True,converged,0.4023106250024284,10.820655669588414,-2.3293316786521245e-06,9.966761061741547e-07,9116
100,8.0,1.4,True,converged,0.3542868329968769,10.820655783065405,-2.2158546872930174e-06,9.635198198916506e-07,8053
100,8.0,1.6,True,converged,0.3064377910050098,10.820655859633309,-2.1392867832759066e-06,9.870853949524305e-07,6968
