n,seed,solver,success,status,runtime_seconds,objective_value,marginal_violation,iterations,pdlp_objective,objective_gap_vs_pdlp
50,1050,pdlp,True,optimal,0.021529332996578887,12.610275092106235,1.2954914918594795e-14,1280,12.610275092106235,0.0
50,1050,pdhg_numpy,True,converged,0.2523704170016572,12.61027330248888,9.858287154176915e-07,12104,12.610275092106235,-1.7896173556408712e-06
100,1100,pdlp,True,optimal,0.14653450000332668,10.820657998920092,1.206673649889467e-14,2496,10.820657998920092,0.0
100,1100,pdhg_numpy,True,converged,1.2938422090010135,10.820656851252354,9.967809180139175e-07,29526,10.820657998920092,-1.1476677386212941e-06
200,1200,pdlp,True,optimal,0.5936844589959946,11.010308713620166,2.6843111067265113e-13,2624,11.010308713620166,0.0
200,1200,pdhg_numpy,False,max_iterations,3.4916699590030476,8.563033993610752,0.2108191637815556,30000,11.010308713620166,-2.447274720009414
500,1500,pdlp,True,optimal,5.376948584002093,10.389507989560876,8.190373710845189e-09,3328,10.389507989560876,0.0
500,1500,pdhg_numpy,False,max_iterations,18.1902092080054,1.184200393463596,1.1334975679523445,30000,10.389507989560876,-9.20530759609728
